no_training:5	no_test:145file identifier	 training data
76	-325.685245
119	-327.012568
59	-248.430371
104	-360.574432
50	-357.934562

file identifier 	 test data 	 predicted
105	-309.727110	-301.897983
1	-360.499843	-296.005055
27	-324.573866	-314.516456
134	-308.516376	-340.015856
31	-359.310420	-287.373850
72	-325.720699	-329.192081
57	-345.635513	-328.646491
32	-287.509315	-306.270628
11	-356.688211	-285.949996
125	-228.992613	-169.625017
146	-377.813815	-246.419391
2	-324.551643	-331.715130
92	-301.343578	-247.789268
128	-303.785832	-265.505712
0	-351.615495	-260.731468
98	-303.553222	-311.654746
8	-272.545439	-282.486922
80	-392.672883	-271.841450
114	-361.772743	-303.867418
89	-249.259410	-270.120519
21	-278.059333	-201.185282
87	-490.834069	-177.389698
84	-345.610574	-315.227528
96	-375.359188	-287.832758
5	-351.628383	-260.632212
14	-302.238859	-295.976099
93	-340.615011	-318.803825
85	-272.550580	-265.466958
61	-308.462933	-312.842792
12	-377.816587	-286.432806
20	-270.370102	-287.370686
120	-323.345161	-286.495733
53	-285.330157	-297.241080
19	-309.720734	-296.855520
124	-271.621961	-264.271428
4	-270.439280	-285.986773
42	-376.564691	-277.386331
126	-274.991042	-276.014860
132	-308.469258	-305.859311
82	-309.701458	-315.836719
111	-344.470970	-290.115237
112	-340.648166	-265.023641
73	-233.293627	-252.928740
100	-361.702143	-294.762877
54	-195.186228	-193.185327
145	-310.929561	-317.361065
129	-308.512092	-320.413598
25	-309.712046	-326.380731
143	-302.355005	-283.581997
24	-345.608180	-338.075373
10	-344.512001	-324.089059
37	-381.587333	-275.237896
122	-339.419649	-279.883982
117	-211.295163	-210.610839
7	-309.722879	-298.508922
147	-345.615452	-312.573738
113	-360.478880	-312.731004
70	-346.874234	-311.010674
74	-310.918822	-317.948725
13	-360.526646	-309.409899
9	-344.468531	-308.277450
142	-307.594137	-275.978032
144	-271.323089	-285.982628
66	-337.302324	-240.989517
130	-274.988525	-273.228498
35	-343.197784	-248.949410
71	-346.864282	-321.067099
29	-344.425700	-339.451122
94	-362.955075	-306.631357
18	-309.719641	-320.685427
33	-264.504487	-225.253944
46	-372.766726	-279.311973
81	-318.390876	-287.496155
41	-345.649146	-303.746240
79	-324.605178	-314.509082
123	-269.263476	-276.601925
17	-345.612580	-346.714573
86	-190.624631	-147.978462
48	-304.689512	-298.818707
149	-380.415966	-253.000926
97	-286.495035	-256.849818
45	-266.615452	-255.646715
63	-287.377993	-319.616915
40	-344.338878	-337.075814
106	-362.952198	-326.085319
77	-348.062001	-314.991149
115	-356.682218	-341.392273
65	-312.125621	-287.141509
90	-327.017113	-323.406108
69	-265.441614	-269.193762
88	-345.655534	-315.058064
26	-301.359287	-258.767976
6	-345.687671	-324.910816
58	-304.683044	-305.676167
49	-396.507540	-234.630452
137	-287.440932	-256.257765
15	-288.542593	-336.261052
51	-283.168740	-214.287428
99	-336.813559	-324.849633
22	-324.575190	-309.745330
127	-322.216227	-283.600302
138	-362.875317	-308.280713
62	-309.677968	-293.016642
135	-301.341304	-243.390569
60	-382.768883	-301.048047
83	-344.434906	-339.246504
78	-270.472470	-259.637505
56	-345.599154	-314.835745
28	-324.630221	-320.311927
67	-172.006141	-155.316236
148	-345.629933	-338.998943
44	-309.735489	-296.042073
121	-361.711483	-293.770556
64	-362.945802	-313.722408
55	-335.683118	-314.565876
103	-291.024232	-308.670588
109	-158.340943	-148.403147
23	-304.679494	-293.636102
108	-345.614707	-322.425727
75	-381.566310	-263.336578
52	-345.627428	-327.487528
16	-273.806874	-273.449989
102	-307.230370	-319.759201
136	-343.240623	-331.992352
68	-286.519735	-286.019533
95	-351.666551	-274.720038
139	-338.257996	-266.829224
131	-345.603479	-308.090358
110	-346.869123	-338.692724
39	-340.687222	-332.184032
36	-344.382282	-325.154629
43	-319.572842	-307.099464
47	-247.225618	-251.287483
30	-325.717105	-329.515189
116	-346.831175	-312.527113
133	-271.642927	-274.192539
107	-307.580090	-261.597121
101	-324.507184	-298.630403
38	-309.736982	-327.165193
3	-346.838279	-306.059665
141	-287.734664	-273.863858
91	-275.011437	-263.960245
34	-306.355655	-261.322978
140	-309.676929	-293.013877
118	-352.905052	-266.020840
