no_training:10	no_test:140file identifier	 training data
115	-356.682218
142	-307.594137
18	-309.719641
46	-372.766726
58	-304.683044
102	-307.230370
27	-324.573866
132	-308.469258
25	-309.712046
118	-352.905052

file identifier 	 test data 	 predicted
148	-345.629933	-318.575719
69	-265.441614	-331.315408
145	-310.929561	-300.217276
84	-345.610574	-318.813500
91	-275.011437	-290.075512
12	-377.816587	-336.310835
9	-344.468531	-323.504945
78	-270.472470	-323.230954
92	-301.343578	-330.364396
110	-346.869123	-312.067694
56	-345.599154	-321.259736
133	-271.642927	-315.903686
64	-362.945802	-316.492378
37	-381.587333	-332.339808
116	-346.831175	-307.555325
61	-308.462933	-322.179740
137	-287.440932	-331.248725
28	-324.630221	-315.089226
66	-337.302324	-337.907896
146	-377.813815	-330.429422
29	-344.425700	-327.451087
42	-376.564691	-336.807310
65	-312.125621	-289.759738
36	-344.382282	-324.631042
149	-380.415966	-337.040197
30	-325.717105	-317.146299
122	-339.419649	-333.029758
68	-286.519735	-332.457228
0	-351.615495	-334.204031
139	-338.257996	-337.790882
24	-345.608180	-322.784043
59	-248.430371	-330.246799
73	-233.293627	-321.272975
127	-322.216227	-334.570725
51	-283.168740	-337.518318
98	-303.553222	-325.291832
11	-356.688211	-329.768119
40	-344.338878	-327.921100
54	-195.186228	-328.560624
43	-319.572842	-332.753868
72	-325.720699	-315.604847
104	-360.574432	-331.319292
81	-318.390876	-332.445391
20	-270.370102	-318.801044
135	-301.341304	-334.728509
47	-247.225618	-330.769415
67	-172.006141	-331.217418
49	-396.507540	-338.554955
2	-324.551643	-322.766744
38	-309.736982	-311.495856
77	-348.062001	-306.708932
3	-346.838279	-312.277001
90	-327.017113	-309.213393
13	-360.526646	-330.133502
1	-360.499843	-336.187223
143	-302.355005	-328.508758
70	-346.874234	-309.952603
128	-303.785832	-325.761274
100	-361.702143	-320.536000
121	-361.711483	-327.262381
32	-287.509315	-317.738417
82	-309.701458	-307.007809
85	-272.550580	-311.048934
45	-266.615452	-322.384394
101	-324.507184	-324.462659
111	-344.470970	-325.267849
53	-285.330157	-330.731094
120	-323.345161	-336.389207
113	-360.478880	-326.083601
23	-304.679494	-317.919499
129	-308.512092	-311.827196
83	-344.434906	-326.386891
97	-286.495035	-328.940429
95	-351.666551	-329.302609
16	-273.806874	-297.347120
7	-309.722879	-317.981113
31	-359.310420	-332.540484
119	-327.012568	-308.682263
106	-362.952198	-319.157038
138	-362.875317	-319.158124
80	-392.672883	-339.597355
57	-345.635513	-317.595384
62	-309.677968	-316.783701
124	-271.621961	-320.248429
52	-345.627428	-320.563306
136	-343.240623	-329.185213
21	-278.059333	-338.281336
22	-324.575190	-320.373259
14	-302.238859	-330.355630
86	-190.624631	-337.742340
141	-287.734664	-324.956365
63	-287.377993	-313.571454
94	-362.955075	-320.092400
4	-270.439280	-322.798285
87	-490.834069	-337.686220
88	-345.655534	-311.938626
6	-345.687671	-312.442197
89	-249.259410	-316.988660
19	-309.720734	-303.186279
75	-381.566310	-326.844087
5	-351.628383	-330.701980
134	-308.516376	-315.689739
60	-382.768883	-313.162966
26	-301.359287	-334.171193
103	-291.024232	-301.049569
15	-288.542593	-307.941297
55	-335.683118	-329.625822
44	-309.735489	-309.744411
76	-325.685245	-316.848821
144	-271.323089	-313.061924
41	-345.649146	-320.097284
33	-264.504487	-330.763320
140	-309.676929	-313.566071
108	-345.614707	-319.270915
34	-306.355655	-328.966419
50	-357.934562	-323.474374
114	-361.772743	-326.815939
107	-307.580090	-325.478926
39	-340.687222	-334.240654
105	-309.727110	-311.929634
8	-272.545439	-304.897720
99	-336.813559	-329.480741
93	-340.615011	-334.054469
79	-324.605178	-317.422565
147	-345.615452	-317.019451
131	-345.603479	-325.941258
130	-274.988525	-291.860781
17	-345.612580	-314.071536
96	-375.359188	-331.355436
123	-269.263476	-328.097057
48	-304.689512	-312.730457
125	-228.992613	-337.973891
10	-344.512001	-324.202132
35	-343.197784	-332.409806
71	-346.864282	-308.815840
112	-340.648166	-326.289056
109	-158.340943	-317.867147
74	-310.918822	-306.663573
117	-211.295163	-321.792639
126	-274.991042	-290.657429
