no_training:25	no_test:125file identifier	 training data
31	-359.310420
38	-309.736982
34	-306.355655
80	-392.672883
101	-324.507184
148	-345.629933
1	-360.499843
51	-283.168740
138	-362.875317
32	-287.509315
128	-303.785832
29	-344.425700
25	-309.712046
81	-318.390876
53	-285.330157
68	-286.519735
99	-336.813559
120	-323.345161
132	-308.469258
95	-351.666551
44	-309.735489
94	-362.955075
28	-324.630221
126	-274.991042
146	-377.813815

file identifier 	 test data 	 predicted
21	-278.059333	-223.118407
129	-308.512092	-319.032183
40	-344.338878	-390.080947
90	-327.017113	-323.316473
33	-264.504487	-267.728387
76	-325.685245	-324.849934
143	-302.355005	-326.887274
83	-344.434906	-349.853953
69	-265.441614	-281.919814
114	-361.772743	-358.961798
62	-309.677968	-290.932596
0	-351.615495	-350.700937
122	-339.419649	-303.251253
103	-291.024232	-287.586637
112	-340.648166	-329.229329
42	-376.564691	-340.486686
105	-309.727110	-310.506450
7	-309.722879	-297.242667
139	-338.257996	-316.259039
116	-346.831175	-355.992624
121	-361.711483	-312.794599
23	-304.679494	-282.738447
145	-310.929561	-300.406394
104	-360.574432	-313.816668
98	-303.553222	-342.074309
9	-344.468531	-339.545748
135	-301.341304	-297.247807
144	-271.323089	-289.290815
22	-324.575190	-349.250477
64	-362.945802	-361.529894
5	-351.628383	-354.988316
30	-325.717105	-340.657413
10	-344.512001	-356.900194
142	-307.594137	-316.456783
118	-352.905052	-306.594414
93	-340.615011	-342.427680
113	-360.478880	-384.783897
79	-324.605178	-348.828566
130	-274.988525	-246.069778
16	-273.806874	-284.761959
2	-324.551643	-367.387123
65	-312.125621	-286.575195
67	-172.006141	-148.244015
37	-381.587333	-330.776069
6	-345.687671	-360.345275
108	-345.614707	-371.260274
58	-304.683044	-298.413611
24	-345.608180	-382.876579
124	-271.621961	-264.319946
136	-343.240623	-315.569526
75	-381.566310	-320.124712
109	-158.340943	-134.038267
52	-345.627428	-355.316144
96	-375.359188	-347.400734
50	-357.934562	-330.353677
131	-345.603479	-298.007465
123	-269.263476	-265.715091
115	-356.682218	-332.201504
11	-356.688211	-315.373523
85	-272.550580	-261.093263
63	-287.377993	-321.301677
66	-337.302324	-304.772244
110	-346.869123	-335.857962
61	-308.462933	-284.748141
87	-490.834069	-257.352583
88	-345.655534	-359.892918
86	-190.624631	-144.930517
57	-345.635513	-347.217486
125	-228.992613	-189.266746
46	-372.766726	-324.110054
47	-247.225618	-238.817045
4	-270.439280	-264.459883
15	-288.542593	-321.668056
149	-380.415966	-347.048471
70	-346.874234	-356.094499
14	-302.238859	-329.203748
107	-307.580090	-305.064011
55	-335.683118	-332.540461
147	-345.615452	-370.024694
111	-344.470970	-353.861354
59	-248.430371	-236.989780
102	-307.230370	-320.121907
140	-309.676929	-287.452196
77	-348.062001	-340.306190
45	-266.615452	-258.432315
20	-270.370102	-278.172069
18	-309.719641	-313.324355
60	-382.768883	-340.055696
119	-327.012568	-320.341140
71	-346.864282	-342.275749
35	-343.197784	-315.634666
13	-360.526646	-377.683807
137	-287.440932	-273.710315
106	-362.952198	-322.826911
72	-325.720699	-342.312561
39	-340.687222	-320.079198
134	-308.516376	-327.041583
117	-211.295163	-204.805124
73	-233.293627	-251.592385
43	-319.572842	-356.231972
41	-345.649146	-341.016847
3	-346.838279	-363.789161
100	-361.702143	-345.764664
56	-345.599154	-361.723191
133	-271.642927	-258.166930
48	-304.689512	-331.294686
27	-324.573866	-349.337019
36	-344.382282	-354.918196
54	-195.186228	-185.167882
74	-310.918822	-303.423278
91	-275.011437	-268.201038
78	-270.472470	-258.005312
49	-396.507540	-337.068039
97	-286.495035	-286.535131
19	-309.720734	-301.902403
12	-377.816587	-344.782197
17	-345.612580	-346.756685
141	-287.734664	-268.620620
26	-301.359287	-306.177323
84	-345.610574	-341.119789
127	-322.216227	-324.848342
89	-249.259410	-275.593814
92	-301.343578	-309.013894
8	-272.545439	-289.906050
82	-309.701458	-330.427111
