no_training:25	no_test:125file identifier	 training data
96	-375.359188
72	-325.720699
116	-346.831175
31	-359.310420
97	-286.495035
135	-301.341304
14	-302.238859
25	-309.712046
123	-269.263476
0	-351.615495
17	-345.612580
105	-309.727110
102	-307.230370
19	-309.720734
99	-336.813559
137	-287.440932
91	-275.011437
122	-339.419649
98	-303.553222
62	-309.677968
41	-345.649146
18	-309.719641
43	-319.572842
13	-360.526646
5	-351.628383

file identifier 	 test data 	 predicted
74	-310.918822	-70.020415
115	-356.682218	-347.711999
111	-344.470970	-329.064187
8	-272.545439	-265.999066
113	-360.478880	-353.221849
38	-309.736982	-310.007826
127	-322.216227	-324.702834
143	-302.355005	-297.393218
15	-288.542593	-308.985960
93	-340.615011	-340.975097
64	-362.945802	-325.947387
42	-376.564691	-332.729393
85	-272.550580	-271.244446
69	-265.441614	-265.648413
78	-270.472470	-274.709354
39	-340.687222	-331.773692
53	-285.330157	-271.337471
26	-301.359287	-296.573577
88	-345.655534	-346.492760
70	-346.874234	-348.075454
108	-345.614707	-345.118743
130	-274.988525	-274.403664
117	-211.295163	-203.051220
144	-271.323089	-326.465887
139	-338.257996	-368.438060
145	-310.929561	-66.547728
140	-309.676929	-303.824029
77	-348.062001	-66.604360
6	-345.687671	-345.716073
44	-309.735489	-313.452810
56	-345.599154	-344.451548
28	-324.630221	-275.722996
80	-392.672883	-382.369116
142	-307.594137	-275.884822
129	-308.512092	-341.063011
149	-380.415966	-345.894333
60	-382.768883	-342.495303
100	-361.702143	-277.006157
61	-308.462933	-347.233282
128	-303.785832	-270.151209
136	-343.240623	-322.423206
95	-351.666551	-351.029493
47	-247.225618	-241.613202
27	-324.573866	-279.961338
90	-327.017113	-78.694979
52	-345.627428	-332.891325
32	-287.509315	-278.329563
75	-381.566310	-347.870590
16	-273.806874	-77.654140
112	-340.648166	-328.200211
65	-312.125621	-275.165928
57	-345.635513	-332.098502
146	-377.813815	-348.237050
119	-327.012568	-79.553904
103	-291.024232	-88.217474
126	-274.991042	-273.694455
20	-270.370102	-263.451370
94	-362.955075	-330.485630
76	-325.685245	-325.659209
63	-287.377993	-264.603771
1	-360.499843	-357.930446
40	-344.338878	-340.733453
141	-287.734664	-333.400235
54	-195.186228	-187.485532
34	-306.355655	-313.563645
133	-271.642927	-314.826729
29	-344.425700	-334.413807
124	-271.621961	-316.093799
148	-345.629933	-339.109549
121	-361.711483	-284.797873
134	-308.516376	-325.685007
73	-233.293627	-260.937873
9	-344.468531	-340.443621
58	-304.683044	-343.699294
50	-357.934562	-274.550127
30	-325.717105	-320.777823
66	-337.302324	-77.919645
2	-324.551643	-276.622233
68	-286.519735	-288.925357
35	-343.197784	-347.924760
92	-301.343578	-300.114121
11	-356.688211	-356.428039
12	-377.816587	-354.637357
110	-346.869123	-339.515764
67	-172.006141	-259.498476
23	-304.679494	-348.016840
71	-346.864282	-343.843058
45	-266.615452	-276.264159
131	-345.603479	-347.798048
104	-360.574432	-357.166558
107	-307.580090	-277.183785
81	-318.390876	-319.654518
55	-335.683118	-309.359290
106	-362.952198	-334.016874
101	-324.507184	-291.614470
10	-344.512001	-338.867582
21	-278.059333	-43.927222
4	-270.439280	-270.907808
46	-372.766726	-318.200368
125	-228.992613	-99.559386
24	-345.608180	-338.775311
118	-352.905052	-347.200330
109	-158.340943	-221.044101
82	-309.701458	-301.444147
120	-323.345161	-327.175009
79	-324.605178	-282.962433
37	-381.587333	-353.204637
36	-344.382282	-341.205304
87	-490.834069	-405.391145
22	-324.575190	-278.598757
114	-361.772743	-272.402729
83	-344.434906	-332.883983
7	-309.722879	-314.067202
84	-345.610574	-349.703376
138	-362.875317	-332.016265
89	-249.259410	-256.958246
132	-308.469258	-341.003714
33	-264.504487	-268.479441
3	-346.838279	-345.366775
59	-248.430371	-249.792601
51	-283.168740	-93.543613
48	-304.689512	-342.824171
147	-345.615452	-344.634691
49	-396.507540	-385.850573
86	-190.624631	-63.101434
