no_training:25	no_test:125file identifier	 training data
28	-324.630221
75	-381.566310
20	-270.370102
119	-327.012568
148	-345.629933
42	-376.564691
38	-309.736982
43	-319.572842
44	-309.735489
89	-249.259410
67	-172.006141
14	-302.238859
46	-372.766726
80	-392.672883
137	-287.440932
39	-340.687222
100	-361.702143
2	-324.551643
4	-270.439280
130	-274.988525
135	-301.341304
45	-266.615452
112	-340.648166
34	-306.355655
35	-343.197784

file identifier 	 test data 	 predicted
124	-271.621961	-309.229597
91	-275.011437	-267.595309
127	-322.216227	-319.075890
11	-356.688211	-336.635314
29	-344.425700	-338.086243
87	-490.834069	-312.133574
134	-308.516376	-310.046069
81	-318.390876	-305.517717
8	-272.545439	-300.914739
9	-344.468531	-345.789483
120	-323.345161	-333.167897
40	-344.338878	-335.127127
94	-362.955075	-310.895021
49	-396.507540	-326.659485
93	-340.615011	-323.302667
5	-351.628383	-297.031790
133	-271.642927	-317.637606
83	-344.434906	-340.888797
76	-325.685245	-312.851948
21	-278.059333	-287.529203
84	-345.610574	-327.153808
109	-158.340943	-273.063468
50	-357.934562	-325.669261
118	-352.905052	-330.179130
139	-338.257996	-312.152648
15	-288.542593	-307.756463
95	-351.666551	-322.053753
65	-312.125621	-290.714462
113	-360.478880	-322.061236
88	-345.655534	-305.361165
72	-325.720699	-308.243458
60	-382.768883	-322.034489
7	-309.722879	-312.900761
68	-286.519735	-313.567939
12	-377.816587	-349.198878
140	-309.676929	-306.235995
136	-343.240623	-279.667118
51	-283.168740	-256.383548
54	-195.186228	-291.898273
58	-304.683044	-304.620879
85	-272.550580	-327.704089
92	-301.343578	-307.448130
99	-336.813559	-316.544884
63	-287.377993	-296.835004
123	-269.263476	-327.119429
77	-348.062001	-308.492219
33	-264.504487	-289.581879
144	-271.323089	-323.690020
147	-345.615452	-327.232723
97	-286.495035	-318.839617
1	-360.499843	-309.422664
149	-380.415966	-296.820983
23	-304.679494	-310.000879
59	-248.430371	-298.183249
73	-233.293627	-285.892107
70	-346.874234	-302.610736
128	-303.785832	-314.432705
17	-345.612580	-327.902996
103	-291.024232	-276.312320
107	-307.580090	-304.217473
116	-346.831175	-304.159328
37	-381.587333	-332.143102
22	-324.575190	-301.039858
48	-304.689512	-309.630765
121	-361.711483	-326.592401
98	-303.553222	-323.814239
13	-360.526646	-307.543783
78	-270.472470	-300.850288
0	-351.615495	-324.105100
24	-345.608180	-331.730843
53	-285.330157	-320.777910
18	-309.719641	-302.403445
114	-361.772743	-339.469131
141	-287.734664	-329.064402
143	-302.355005	-316.345860
36	-344.382282	-314.750391
61	-308.462933	-301.484991
16	-273.806874	-305.680997
105	-309.727110	-301.509582
82	-309.701458	-314.632728
69	-265.441614	-323.970574
145	-310.929561	-302.038168
104	-360.574432	-310.318085
27	-324.573866	-331.065873
64	-362.945802	-319.504603
117	-211.295163	-271.607294
101	-324.507184	-326.223983
19	-309.720734	-306.198423
55	-335.683118	-338.100336
32	-287.509315	-300.865163
122	-339.419649	-289.229907
110	-346.869123	-312.326065
71	-346.864282	-299.819382
111	-344.470970	-328.742868
26	-301.359287	-300.231259
52	-345.627428	-321.397839
56	-345.599154	-292.036857
86	-190.624631	-260.238167
142	-307.594137	-302.484244
31	-359.310420	-298.561305
96	-375.359188	-284.127347
90	-327.017113	-307.092363
108	-345.614707	-322.165163
106	-362.952198	-323.618799
125	-228.992613	-253.932940
47	-247.225618	-272.809826
3	-346.838279	-307.343650
10	-344.512001	-329.806028
62	-309.677968	-302.939547
79	-324.605178	-331.986988
57	-345.635513	-335.943570
25	-309.712046	-311.417330
6	-345.687671	-310.067628
131	-345.603479	-311.637257
74	-310.918822	-305.386240
66	-337.302324	-289.650069
115	-356.682218	-330.133616
126	-274.991042	-279.509473
30	-325.717105	-317.022383
129	-308.512092	-295.900392
138	-362.875317	-292.036723
132	-308.469258	-298.590473
146	-377.813815	-318.235829
102	-307.230370	-321.606944
41	-345.649146	-329.555235
