no_training:5	no_test:145file identifier	 training data
99	-336.813559
5	-351.628383
56	-345.599154
46	-372.766726
29	-344.425700

file identifier 	 test data 	 predicted
17	-345.612580	-348.539368
88	-345.655534	-349.691344
81	-318.390876	-363.476730
142	-307.594137	-175.468644
80	-392.672883	-329.389072
71	-346.864282	-90.011959
35	-343.197784	-398.605460
128	-303.785832	-169.628401
66	-337.302324	-90.470729
114	-361.772743	-152.263274
100	-361.702143	-162.720909
85	-272.550580	-149.456793
30	-325.717105	-122.956187
138	-362.875317	-124.765206
33	-264.504487	-390.809880
96	-375.359188	-101.152633
121	-361.711483	-176.171568
47	-247.225618	-370.795780
3	-346.838279	-93.200420
73	-233.293627	-209.869878
36	-344.382282	-331.033121
12	-377.816587	-334.765272
44	-309.735489	-119.707258
106	-362.952198	-123.614097
89	-249.259410	-350.601234
126	-274.991042	-115.616035
149	-380.415966	-378.350019
110	-346.869123	-90.465263
144	-271.323089	-365.144410
75	-381.566310	-339.793110
58	-304.683044	-362.639227
49	-396.507540	-327.966787
83	-344.434906	-342.834879
52	-345.627428	-337.947506
63	-287.377993	-168.437424
28	-324.630221	-168.231221
108	-345.614707	-349.026153
127	-322.216227	-363.241191
45	-266.615452	-210.675520
139	-338.257996	-137.024568
130	-274.988525	-118.256882
41	-345.649146	-346.946715
131	-345.603479	-342.736669
65	-312.125621	-97.531624
117	-211.295163	-269.998631
57	-345.635513	-337.238865
10	-344.512001	-334.658941
9	-344.468531	-335.417802
7	-309.722879	-123.299460
94	-362.955075	-119.189460
140	-309.676929	-124.014735
74	-310.918822	-98.723927
14	-302.238859	-399.531994
42	-376.564691	-376.139220
95	-351.666551	-350.976814
39	-340.687222	-349.444998
70	-346.874234	-101.563824
103	-291.024232	-105.726648
82	-309.701458	-110.476452
101	-324.507184	-199.366716
51	-283.168740	-125.350127
8	-272.545439	-143.991446
72	-325.720699	-128.826945
132	-308.469258	-362.249474
124	-271.621961	-157.061059
64	-362.945802	-113.478122
120	-323.345161	-223.784086
18	-309.719641	-113.628067
113	-360.478880	-173.620408
20	-270.370102	-177.922648
129	-308.512092	-357.980646
34	-306.355655	-215.141534
69	-265.441614	-223.364751
118	-352.905052	-172.025152
91	-275.011437	-117.539860
105	-309.727110	-119.757649
2	-324.551643	-166.674421
78	-270.472470	-195.090355
133	-271.642927	-148.218222
122	-339.419649	-396.926823
97	-286.495035	-359.924103
6	-345.687671	-349.806485
25	-309.712046	-111.913906
102	-307.230370	-352.209538
148	-345.629933	-342.057069
38	-309.736982	-115.895574
143	-302.355005	-399.818698
27	-324.573866	-174.541136
0	-351.615495	-351.609898
1	-360.499843	-187.221710
86	-190.624631	-145.926165
109	-158.340943	-251.569980
40	-344.338878	-331.091307
60	-382.768883	-337.031664
26	-301.359287	-360.490435
53	-285.330157	-384.570765
13	-360.526646	-174.182397
11	-356.688211	-176.771111
31	-359.310420	-346.387185
48	-304.689512	-362.545393
77	-348.062001	-82.297810
16	-273.806874	-122.604687
79	-324.605178	-182.920681
4	-270.439280	-187.449698
54	-195.186228	-361.454867
104	-360.574432	-168.885193
93	-340.615011	-327.327023
111	-344.470970	-351.402333
141	-287.734664	-358.071250
67	-172.006141	-223.655678
87	-490.834069	-263.461053
37	-381.587333	-328.662589
50	-357.934562	-157.215272
134	-308.516376	-349.111163
119	-327.012568	-94.204447
22	-324.575190	-176.474445
115	-356.682218	-164.378539
98	-303.553222	-350.917753
24	-345.608180	-342.930419
32	-287.509315	-195.279598
15	-288.542593	-139.380757
43	-319.572842	-192.965505
116	-346.831175	-103.476681
112	-340.648166	-355.775419
61	-308.462933	-363.301454
19	-309.720734	-116.071434
59	-248.430371	-226.811828
90	-327.017113	-95.612009
84	-345.610574	-355.522800
137	-287.440932	-222.411756
62	-309.677968	-121.390998
136	-343.240623	-389.919878
145	-310.929561	-96.941381
123	-269.263476	-213.948676
23	-304.679494	-362.734650
107	-307.580090	-180.145481
68	-286.519735	-355.457345
147	-345.615452	-347.121167
135	-301.341304	-363.298089
92	-301.343578	-363.144345
76	-325.685245	-135.801826
125	-228.992613	-157.712135
146	-377.813815	-344.653541
55	-335.683118	-385.581060
21	-278.059333	-82.892783
