no_training:10	no_test:140file identifier	 training data
109	-158.340943
19	-309.720734
32	-287.509315
39	-340.687222
59	-248.430371
10	-344.512001
62	-309.677968
146	-377.813815
137	-287.440932
22	-324.575190

file identifier 	 test data 	 predicted
64	-362.945802	-315.856850
123	-269.263476	-259.235167
96	-375.359188	-264.313895
101	-324.507184	-277.588415
90	-327.017113	-328.696911
130	-274.988525	-250.851037
121	-361.711483	-265.264005
37	-381.587333	-262.487986
106	-362.952198	-330.305047
38	-309.736982	-303.872111
0	-351.615495	-334.258261
46	-372.766726	-284.436372
88	-345.655534	-331.200843
102	-307.230370	-291.872469
83	-344.434906	-331.952786
145	-310.929561	-315.796221
16	-273.806874	-265.898136
92	-301.343578	-253.040088
29	-344.425700	-323.921050
76	-325.685245	-314.394765
7	-309.722879	-286.958527
53	-285.330157	-266.050133
147	-345.615452	-332.697174
141	-287.734664	-271.978341
97	-286.495035	-257.748873
120	-323.345161	-308.237269
131	-345.603479	-285.924630
91	-275.011437	-283.265241
70	-346.874234	-307.915436
58	-304.683044	-270.580774
89	-249.259410	-262.833900
55	-335.683118	-279.307086
82	-309.701458	-319.652535
24	-345.608180	-335.981083
48	-304.689512	-303.985164
105	-309.727110	-332.031941
85	-272.550580	-248.827710
54	-195.186228	-198.678089
126	-274.991042	-277.171621
12	-377.816587	-286.735916
99	-336.813559	-289.839752
27	-324.573866	-304.509836
143	-302.355005	-270.811199
5	-351.628383	-332.942227
138	-362.875317	-296.533457
28	-324.630221	-320.684074
77	-348.062001	-309.575166
66	-337.302324	-221.603487
118	-352.905052	-271.788220
67	-172.006141	-171.035196
60	-382.768883	-283.099177
30	-325.717105	-311.602267
52	-345.627428	-303.185962
26	-301.359287	-244.357185
95	-351.666551	-308.887368
104	-360.574432	-299.567638
20	-270.370102	-271.437052
128	-303.785832	-263.031848
1	-360.499843	-288.277721
74	-310.918822	-318.791863
117	-211.295163	-211.102002
119	-327.012568	-330.321643
124	-271.621961	-268.291989
81	-318.390876	-265.724666
63	-287.377993	-311.438879
103	-291.024232	-307.619451
49	-396.507540	-279.525725
13	-360.526646	-281.417177
84	-345.610574	-304.836478
31	-359.310420	-290.295677
134	-308.516376	-311.412555
45	-266.615452	-242.356738
36	-344.382282	-303.595651
135	-301.341304	-249.617258
98	-303.553222	-318.072918
34	-306.355655	-266.277645
142	-307.594137	-282.225415
93	-340.615011	-315.597739
144	-271.323089	-291.200002
9	-344.468531	-333.273226
136	-343.240623	-305.158942
79	-324.605178	-305.160539
78	-270.472470	-269.002134
110	-346.869123	-321.342030
140	-309.676929	-302.631669
57	-345.635513	-328.230050
86	-190.624631	-162.320258
33	-264.504487	-230.648617
50	-357.934562	-265.679548
14	-302.238859	-287.127360
42	-376.564691	-274.734832
71	-346.864282	-326.881875
35	-343.197784	-276.900683
100	-361.702143	-261.283793
2	-324.551643	-344.810089
8	-272.545439	-274.180547
87	-490.834069	-166.222732
17	-345.612580	-322.038393
139	-338.257996	-260.665977
111	-344.470970	-329.048828
25	-309.712046	-306.098922
108	-345.614707	-353.879858
43	-319.572842	-293.664048
11	-356.688211	-269.170460
116	-346.831175	-301.500408
73	-233.293627	-225.701770
56	-345.599154	-316.352008
3	-346.838279	-346.891164
61	-308.462933	-287.971262
115	-356.682218	-301.737839
47	-247.225618	-237.859061
149	-380.415966	-306.743602
18	-309.719641	-320.754414
4	-270.439280	-260.910535
148	-345.629933	-310.814545
15	-288.542593	-310.779590
107	-307.580090	-287.662723
127	-322.216227	-283.244006
114	-361.772743	-299.962388
51	-283.168740	-208.544929
40	-344.338878	-329.231937
80	-392.672883	-238.305085
23	-304.679494	-266.756678
6	-345.687671	-330.232143
69	-265.441614	-267.456958
129	-308.512092	-325.692039
75	-381.566310	-260.921724
133	-271.642927	-259.255829
41	-345.649146	-308.447018
68	-286.519735	-277.799096
44	-309.735489	-295.636920
21	-278.059333	-195.576951
112	-340.648166	-312.492805
132	-308.469258	-339.659126
72	-325.720699	-321.355634
122	-339.419649	-277.129740
113	-360.478880	-323.539601
125	-228.992613	-188.350481
65	-312.125621	-291.386420
94	-362.955075	-303.245573
