no_training:10	no_test:3983file identifier	 training data
1566	-380.438011
1590	-344.415609
2474	-357.944802
0	-351.615495
597	-309.683901
1956	-308.461475
1277	-309.706892
3581	-319.540355
812	-308.509197
2250	-339.462492

file identifier 	 test data 	 predicted
511	-320.778636	-311.789266
2717	-309.726244	-303.224346
757	-345.678211	-337.114775
3208	-288.572843	-306.174593
1307	-303.460433	-339.412862
636	-382.818623	-341.540175
999	-308.512721	-332.418615
3770	-272.544060	-318.460087
1962	-382.756724	-358.034928
3334	-325.800680	-339.893371
423	-304.694187	-341.106463
3124	-308.562031	-303.278569
2137	-324.588239	-324.812668
633	-325.759393	-332.441177
1102	-116.609549	-398.125937
1795	-356.736238	-341.715046
1438	-356.728392	-341.612143
1410	-273.759553	-270.441216
1727	-324.606977	-329.049565
1623	-229.615446	-297.594380
2301	-324.616647	-340.623812
3144	-308.472241	-320.195552
483	-309.705795	-312.839212
53	-285.330157	-319.429478
3453	-321.254976	-347.858064
2470	-309.688189	-297.767971
3119	-301.090914	-337.488226
1008	-248.448467	-352.840822
1204	-361.704371	-342.667466
484	-351.639205	-347.054980
3344	-325.748658	-310.624235
1189	-287.322957	-330.223982
153	-347.466594	-347.929779
3707	-271.620156	-304.483691
1226	-195.226072	-343.545240
2419	-287.353473	-324.481463
2265	-360.469291	-371.450220
3732	-320.774305	-331.363108
3425	-324.547564	-326.854906
556	-272.600604	-315.727113
164	-340.675814	-337.899320
2106	-286.476486	-342.424873
1917	-325.790782	-325.901651
809	-361.738091	-336.476591
3935	-289.875063	-325.740778
1859	-324.577613	-335.840462
1021	-232.328175	-337.699738
1673	-309.733829	-319.065795
2140	-325.715372	-319.132393
2797	-345.646914	-330.353637
710	-340.625597	-327.014672
2282	-375.368783	-359.388710
3874	-323.344889	-356.957973
2019	-340.659620	-321.943007
1075	-325.751822	-329.215203
3950	-270.439135	-350.521679
3976	-273.765901	-267.553625
950	-324.580266	-321.805662
3368	-308.496367	-333.760217
2073	-345.600119	-354.209338
254	-285.284456	-366.467426
709	-286.134079	-345.347303
1365	-361.755045	-351.085734
2538	-344.417597	-340.655346
1054	-323.427722	-329.338782
2005	-305.155985	-341.137087
2173	-304.678340	-331.883041
473	-346.828378	-309.849821
824	-310.952875	-313.804996
2964	-362.945907	-320.717035
1040	-268.307873	-356.870690
3270	-273.788787	-276.818594
2686	-340.697732	-307.003663
3934	-381.630276	-351.794324
2651	-273.744309	-300.522835
3918	-289.794194	-299.118888
