no_training:10	no_test:140file identifier	 training data
149	-380.415966
19	-309.720734
133	-271.642927
78	-270.472470
55	-335.683118
10	-344.512001
76	-325.685245
144	-271.323089
8	-272.545439
41	-345.649146

file identifier 	 test data 	 predicted
107	-307.580090	-318.467515
141	-287.734664	-311.267402
60	-382.768883	-313.124326
4	-270.439280	-312.968712
114	-361.772743	-318.410425
113	-360.478880	-331.126358
115	-356.682218	-328.302184
112	-340.648166	-317.816274
50	-357.934562	-317.455342
64	-362.945802	-301.925105
59	-248.430371	-322.493651
85	-272.550580	-304.867260
110	-346.869123	-307.717845
120	-323.345161	-327.868825
143	-302.355005	-327.580318
69	-265.441614	-316.201002
47	-247.225618	-328.188397
108	-345.614707	-309.484982
65	-312.125621	-278.808604
95	-351.666551	-330.487869
13	-360.526646	-329.749621
5	-351.628383	-331.497476
6	-345.687671	-307.852847
18	-309.719641	-296.866555
146	-377.813815	-337.850746
105	-309.727110	-295.713502
57	-345.635513	-311.518803
2	-324.551643	-310.748556
118	-352.905052	-324.684312
86	-190.624631	-338.269005
16	-273.806874	-292.997080
83	-344.434906	-318.093460
91	-275.011437	-286.608899
24	-345.608180	-302.899753
99	-336.813559	-315.136430
90	-327.017113	-295.940307
43	-319.572842	-325.392390
98	-303.553222	-316.555766
72	-325.720699	-308.489861
28	-324.630221	-323.071941
52	-345.627428	-319.045013
139	-338.257996	-334.677075
129	-308.512092	-292.530063
121	-361.711483	-315.924286
89	-249.259410	-315.833547
23	-304.679494	-308.303662
71	-346.864282	-296.197422
132	-308.469258	-311.279686
119	-327.012568	-302.875267
56	-345.599154	-314.424913
9	-344.468531	-316.073681
92	-301.343578	-330.209935
88	-345.655534	-305.087639
109	-158.340943	-302.779480
33	-264.504487	-332.142118
145	-310.929561	-281.185669
15	-288.542593	-296.109765
37	-381.587333	-324.044082
101	-324.507184	-323.668143
130	-274.988525	-273.650768
22	-324.575190	-321.690946
126	-274.991042	-282.123065
104	-360.574432	-318.030485
11	-356.688211	-323.439990
68	-286.519735	-321.522646
111	-344.470970	-316.812798
27	-324.573866	-312.727546
32	-287.509315	-306.001299
100	-361.702143	-317.956264
51	-283.168740	-344.710374
102	-307.230370	-320.171189
70	-346.874234	-307.606751
21	-278.059333	-330.690641
75	-381.566310	-318.937908
14	-302.238859	-330.400731
38	-309.736982	-293.807564
134	-308.516376	-308.541479
12	-377.816587	-326.569233
62	-309.677968	-305.802301
142	-307.594137	-315.696629
3	-346.838279	-292.835797
125	-228.992613	-336.927915
26	-301.359287	-324.267603
39	-340.687222	-320.861620
49	-396.507540	-333.783621
103	-291.024232	-297.504452
63	-287.377993	-291.022446
36	-344.382282	-305.466077
48	-304.689512	-308.700089
7	-309.722879	-294.016306
137	-287.440932	-321.483298
45	-266.615452	-303.624805
84	-345.610574	-312.175976
97	-286.495035	-325.154073
93	-340.615011	-322.099578
42	-376.564691	-334.758734
17	-345.612580	-313.523683
61	-308.462933	-315.595464
96	-375.359188	-330.015208
81	-318.390876	-333.957474
1	-360.499843	-330.479054
0	-351.615495	-332.272841
123	-269.263476	-327.602606
127	-322.216227	-341.611402
87	-490.834069	-336.257448
40	-344.338878	-320.548556
73	-233.293627	-310.844710
20	-270.370102	-301.533602
124	-271.621961	-303.112879
122	-339.419649	-340.435602
106	-362.952198	-301.163400
136	-343.240623	-330.699755
117	-211.295163	-320.853990
77	-348.062001	-290.274066
140	-309.676929	-302.041464
31	-359.310420	-341.394795
116	-346.831175	-300.780917
30	-325.717105	-303.901932
135	-301.341304	-329.248471
79	-324.605178	-314.598673
131	-345.603479	-314.536473
128	-303.785832	-318.869737
147	-345.615452	-310.277673
58	-304.683044	-297.631443
148	-345.629933	-318.808871
94	-362.955075	-309.439549
67	-172.006141	-342.843959
25	-309.712046	-293.753910
44	-309.735489	-292.963362
35	-343.197784	-337.865416
54	-195.186228	-319.934091
34	-306.355655	-321.187488
74	-310.918822	-291.234113
80	-392.672883	-328.699089
82	-309.701458	-288.093079
66	-337.302324	-339.955155
29	-344.425700	-314.389471
53	-285.330157	-322.369855
138	-362.875317	-307.302643
46	-372.766726	-327.303756
