no_training:5	no_test:3988file identifier	 training data
758	-307.574899
2301	-324.616647
3858	-308.459001
2501	-232.377706
1957	-206.721858

file identifier 	 test data 	 predicted
1818	-371.535911	-118.094672
2684	-310.940657	-302.156219
1682	-269.215705	-296.610827
2798	-307.259167	-299.811577
2702	-309.685148	-311.449120
2499	-376.539208	-222.621828
1011	-310.942660	-305.780051
2080	-325.793131	-309.073238
3763	-344.416821	-334.535580
530	-360.503506	-308.542360
1645	-324.477059	-321.931795
2705	-270.384180	-289.920718
94	-362.955075	-310.802968
2973	-324.604156	-319.175492
2567	-320.795216	-134.284958
1386	-362.967171	-302.746735
2729	-323.315925	-316.574773
2017	-310.940345	-301.219525
2385	-310.911571	-308.600445
3358	-326.934987	-314.286967
1399	-341.826906	-229.084123
1693	-234.474613	-217.302570
2849	-355.442748	-164.999760
2204	-310.904876	-309.137995
83	-344.434906	-330.940400
3211	-310.908555	-309.214603
3904	-356.716094	-173.982797
973	-325.790444	-321.818695
3389	-309.689740	-306.291089
1012	-266.609146	-169.252106
2097	-345.639692	-324.700051
1490	-309.691591	-309.453580
3909	-310.945132	-303.247871
883	-340.647778	-221.138262
1254	-325.753541	-312.559782
1240	-310.907666	-303.308220
3291	-362.911941	-308.966841
974	-303.468081	-202.598421
243	-323.389193	-324.553424
131	-345.603479	-330.694722
366	-324.576206	-317.165171
2021	-346.818246	-332.545366
485	-250.585183	-234.208882
2142	-324.624987	-319.410277
3921	-343.218379	-329.987776
669	-377.780670	-234.033737
1438	-356.728392	-173.049520
2063	-344.402806	-330.811352
3000	-309.688191	-305.141997
2637	-325.687098	-320.660074
2030	-273.804223	-203.293527
3344	-325.748658	-318.272048
189	-322.167165	-318.532728
1496	-268.248371	-273.581820
1525	-345.608193	-331.209994
1539	-382.755486	-236.786183
3200	-265.433051	-160.909075
2887	-345.641890	-334.777205
2413	-345.604177	-330.028346
3969	-324.609784	-326.109278
3183	-345.642870	-335.827694
2757	-346.855643	-331.171939
575	-272.582834	-201.480332
3255	-345.578846	-332.297703
3210	-336.808333	-99.062233
3243	-377.816466	-229.112035
2019	-340.659620	-228.784603
3424	-348.051118	-328.476478
2762	-306.370119	-302.471749
2475	-381.524347	-236.422667
3052	-291.017787	-231.471581
1615	-287.344000	-230.020475
2448	-346.833271	-336.038121
1239	-356.710448	-162.644014
1850	-323.407987	-326.661122
2020	-272.514099	-200.162864
378	-356.705084	-167.518399
1211	-286.498633	-262.089425
3162	-324.546164	-317.579592
2482	-268.321270	-269.775170
2428	-309.682996	-300.076070
2737	-322.442708	-267.286223
3983	-322.115604	-324.802028
777	-307.544712	-306.922049
2998	-246.027383	-235.196082
2043	-344.484341	-333.743168
2631	-380.316551	-238.368331
2109	-321.219665	-268.017447
3848	-324.564634	-315.282856
3492	-345.645245	-335.485020
1741	-345.629842	-324.771867
1998	-324.536830	-322.109050
1030	-309.683546	-309.039821
1555	-324.529724	-314.906493
3533	-232.036378	-217.128984
14	-302.238859	-200.247155
1397	-271.624640	-289.447674
2874	-309.725707	-303.777033
2936	-324.504178	-316.695089
2422	-325.718957	-316.086580
184	-322.436757	-275.316754
2198	-382.804255	-232.929188
3072	-340.671263	-218.826608
3345	-312.120708	-307.436444
2145	-346.844016	-332.681145
2628	-359.341296	-310.731123
568	-303.458583	-198.390231
3685	-381.602419	-244.061225
2329	-324.557240	-319.948513
2715	-345.709596	-331.558509
270	-372.752005	-124.339637
2392	-272.551442	-198.042769
2379	-361.769162	-300.504969
3103	-340.631134	-230.619835
1072	-272.554773	-205.033951
551	-382.817123	-234.261277
2257	-307.238509	-300.323686
886	-304.728323	-191.660369
1983	-320.792773	-136.434440
1866	-310.940708	-298.749726
786	-307.544728	-306.137868
1219	-306.334850	-302.004139
747	-359.350089	-304.090916
2960	-271.360631	-204.140921
2627	-235.695309	-217.385735
3040	-360.506446	-301.562818
1434	-344.482088	-332.240186
608	-309.688960	-305.640582
1420	-286.516174	-272.163092
1727	-324.606977	-327.656018
1033	-339.482903	-223.728796
2772	-343.232602	-333.632576
2593	-321.252793	-269.852115
1583	-345.655509	-329.997538
1268	-344.411146	-331.684364
906	-383.969892	-237.528428
3684	-362.958208	-311.883288
3691	-352.852117	-81.008862
2836	-345.652670	-333.908922
1010	-340.666160	-219.995403
1870	-309.686187	-305.527624
451	-362.932378	-305.944194
1196	-346.840727	-331.963409
80	-392.672883	-165.774236
2176	-345.608670	-330.936292
196	-341.759398	-219.109809
1025	-324.520219	-318.831300
1669	-287.426878	-237.662763
3694	-338.246643	-233.258234
3473	-360.527434	-304.366156
2442	-345.636611	-333.111764
779	-356.732185	-168.524126
513	-355.518342	-161.065723
1639	-345.640072	-336.234457
547	-360.540793	-299.694348
802	-359.306313	-299.583116
3642	-324.565306	-315.127667
2396	-307.546144	-308.842403
3401	-338.175569	-214.678983
1769	-324.569009	-310.485189
837	-360.512026	-311.154128
2489	-250.583259	-234.147528
1450	-273.757658	-202.966409
909	-325.789320	-314.765035
1900	-309.689410	-303.671423
3890	-341.849730	-222.529707
897	-345.659998	-334.138551
964	-291.014970	-231.273390
2240	-381.627040	-235.999366
410	-325.835955	-315.494629
2810	-273.763107	-205.953633
2508	-324.574476	-319.041376
1726	-381.506605	-238.061060
2111	-348.048744	-328.536273
112	-340.648166	-234.314172
3414	-285.313674	-266.688740
1349	-286.542391	-264.735307
2254	-359.388326	-301.712175
2463	-288.576502	-232.263687
163	-319.624414	-140.414303
3864	-288.639421	-229.370171
835	-320.740782	-149.259385
2714	-398.878264	-222.571655
3650	-382.756764	-238.010255
1279	-377.837977	-226.560656
2968	-310.909942	-305.124270
2345	-342.329232	-216.681204
3201	-346.845480	-326.212403
1060	-345.713205	-330.262084
3277	-354.254979	-161.601276
1692	-362.862736	-301.998243
3343	-320.735225	-146.653533
2092	-288.572051	-231.950095
187	-341.842120	-225.374515
45	-266.615452	-171.140000
396	-372.782655	-123.179413
1498	-340.654582	-225.695284
1285	-346.860450	-328.048032
1118	-306.032266	-304.907483
2178	-339.455981	-228.394505
226	-360.556344	-308.185501
1995	-362.946041	-304.484207
509	-307.238995	-305.710823
2618	-361.768020	-303.151650
2123	-327.010026	-307.535084
137	-287.440932	-239.054654
976	-382.776658	-237.482840
755	-324.568345	-327.851575
2156	-346.827596	-330.305555
2890	-309.738198	-302.902975
3054	-269.129580	-297.184237
90	-327.017113	-312.755884
1092	-360.552974	-297.438299
2281	-345.643890	-333.572159
409	-306.383308	-305.922711
3259	-359.368793	-308.730660
2134	-344.433965	-331.526242
2987	-271.618137	-290.396927
2399	-308.430606	-311.540657
1917	-325.790782	-308.812084
2199	-377.815601	-228.525563
1403	-308.462299	-309.924416
2597	-412.494644	-157.053393
2629	-356.679047	-171.626987
2137	-324.588239	-317.604046
3094	-324.601619	-327.413265
2765	-381.546975	-231.142708
3213	-339.438949	-237.314597
548	-233.555951	-233.349684
1440	-270.441325	-292.460476
2148	-309.718089	-305.429884
479	-77.308427	-136.010050
869	-327.026488	-311.324271
2013	-343.195410	-332.187889
3646	-305.130313	-304.650759
2189	-325.762375	-318.430730
1370	-242.180146	-114.006637
3126	-360.523204	-314.940956
2336	-344.433499	-333.918810
3625	-326.948771	-318.946020
1766	-270.387395	-286.487388
843	-308.437835	-310.794513
3458	-345.693035	-330.648028
3554	-309.689751	-310.390607
3365	-396.458774	-213.250189
2297	-322.412936	-278.364481
662	-341.843824	-229.272099
2630	-282.871678	-264.004247
2896	-356.725069	-168.188083
1263	-345.642008	-330.646587
1137	-271.622539	-291.320073
1305	-319.621560	-141.045885
3301	-371.491061	-121.007649
2223	-288.657055	-237.463181
2436	-308.473229	-311.946546
102	-307.230370	-311.083330
2984	-362.935648	-302.630755
149	-380.415966	-237.657928
47	-247.225618	-231.844622
85	-272.550580	-206.197994
255	-309.672030	-305.154584
2064	-309.687401	-305.100902
209	-308.493663	-310.270404
395	-234.447743	-218.177999
1599	-304.689816	-200.320340
3674	-309.731169	-305.998297
2986	-340.629609	-227.396846
772	-381.599310	-236.470370
1806	-324.610229	-320.685150
3972	-359.339915	-310.944888
1300	-324.595031	-321.062015
1569	-234.503085	-217.339647
2103	-346.834331	-330.395475
1610	-196.406419	-208.107663
353	-197.632222	-207.724896
464	-324.485629	-318.827376
901	-270.446915	-288.699102
743	-309.719124	-302.605768
1662	-377.834156	-232.318693
550	-319.568017	-148.016772
3104	-310.941183	-303.064875
2564	-325.789398	-320.373198
3364	-305.057353	-302.686648
472	-273.761356	-201.372677
824	-310.952875	-303.750250
3551	-345.646761	-331.836016
3143	-286.432042	-269.031235
1231	-324.569596	-324.093487
2571	-309.686348	-309.746242
2519	-323.585680	-266.420693
3121	-344.419977	-334.206629
1697	-345.613396	-333.648947
477	-265.399968	-172.268064
899	-321.230055	-280.397574
1094	-304.696023	-200.288342
1007	-235.694216	-216.633906
1923	-287.427777	-238.922285
2638	-309.688194	-306.015934
2349	-301.357553	-194.082761
2781	-288.581699	-235.430710
657	-270.392759	-285.921071
822	-336.845442	-102.033602
1264	-324.536694	-318.406580
781	-362.918463	-305.434066
3	-346.838279	-329.048536
2828	-232.030352	-217.310331
1978	-281.485530	-127.606019
3526	-249.285024	-228.128506
2787	-324.505365	-308.367221
3581	-319.540355	-133.786606
1258	-344.472090	-332.040736
1323	-289.811983	-233.622323
3435	-361.728293	-306.252810
379	-391.337881	-157.238583
2516	-309.661518	-311.576009
2988	-310.923406	-310.519875
397	-288.630839	-234.357996
2135	-346.861074	-329.305870
1298	-308.505512	-299.955314
1015	-344.454928	-331.449314
48	-304.689512	-200.669051
3387	-309.727603	-304.247923
2177	-346.868453	-334.405375
1245	-310.907810	-304.907571
1178	-382.751729	-241.219282
1606	-308.462382	-304.904702
2233	-319.556235	-146.043333
2766	-285.279992	-269.051565
2559	-319.571638	-136.230212
1367	-325.812267	-320.157591
3276	-344.508729	-330.162504
2441	-310.909223	-303.756426
1444	-304.691748	-199.994616
982	-307.235414	-309.768223
3464	-234.470922	-217.735650
2845	-307.602080	-302.173475
1714	-132.718150	-157.165450
3422	-340.663929	-222.999449
2491	-381.634033	-231.768714
2184	-360.501473	-311.416139
2234	-272.580839	-200.040978
3195	-274.982322	-203.809016
3351	-285.306999	-272.929549
471	-324.532283	-320.256783
2909	-361.687451	-310.551921
3911	-345.639354	-326.098195
2720	-231.102112	-240.720918
687	-346.841762	-333.256979
1262	-356.712023	-165.581121
3056	-269.180682	-288.783696
306	-307.335530	-304.609620
352	-288.557016	-234.343576
874	-271.611192	-291.591644
148	-345.629933	-329.726602
1140	-304.683966	-199.324160
2914	-270.422403	-296.798096
169	-309.688569	-311.637042
1331	-310.941319	-310.315870
653	-344.473681	-333.641726
576	-345.655968	-336.540186
3250	-360.517106	-301.679286
426	-362.933001	-302.423623
2472	-209.159302	-206.764761
1053	-340.610046	-238.054415
1753	-375.351387	-223.292108
2923	-325.801905	-326.579371
516	-312.134532	-305.159003
3700	-361.717469	-306.851229
1849	-324.547957	-317.864634
627	-359.304956	-311.276007
2165	-319.567241	-140.289905
1673	-309.733829	-311.070399
3179	-270.408713	-285.884354
3352	-272.834623	-290.071724
1783	-320.761312	-132.005446
1959	-324.603913	-318.705843
101	-324.507184	-316.456243
