no_training:10	no_test:3983file identifier	 training data
3047	-285.293918
2776	-313.573888
2917	-267.068488
1137	-271.622539
3932	-360.472117
2750	-268.301176
52	-345.627428
3094	-324.601619
923	-322.135797
964	-291.014970

file identifier 	 test data 	 predicted
1060	-345.713205	-339.682393
2086	-308.486338	-311.792232
1688	-324.567893	-325.006536
567	-339.489014	-358.961728
1074	-304.697680	-340.085442
2669	-309.763785	-304.120805
2824	-304.720708	-319.249794
1513	-306.368494	-318.137837
1848	-273.769835	-272.529054
2103	-346.834331	-323.956971
783	-273.806375	-249.978706
850	-271.623957	-282.968221
1369	-392.662003	-363.446493
1630	-323.431776	-339.822761
3567	-309.693494	-328.094636
1204	-361.704371	-361.394965
602	-275.010289	-226.139901
142	-307.594137	-326.972430
1297	-345.621773	-351.416615
1069	-375.370023	-363.002305
3948	-340.614465	-367.707033
3413	-308.440890	-314.162105
3044	-363.519194	-365.628593
993	-317.364547	-301.497072
3883	-308.516508	-306.863548
1741	-345.629842	-345.482438
2510	-325.797299	-332.716374
668	-267.103350	-286.521128
1495	-286.516879	-281.713971
94	-362.955075	-350.718332
2422	-325.718957	-322.019335
2079	-363.517297	-365.726059
895	-356.728690	-349.655594
181	-412.528245	-367.543296
814	-308.509272	-332.036001
1499	-320.779994	-324.944728
1206	-342.315546	-331.479747
172	-282.667163	-302.538016
357	-307.245430	-347.835448
1066	-375.344926	-370.470711
2611	-346.824672	-339.598095
2643	-372.711859	-363.416692
1975	-341.829025	-369.990613
654	-309.727166	-312.708272
2305	-376.633716	-361.629574
3519	-376.604739	-384.778322
462	-234.474088	-261.939343
391	-345.584667	-334.321239
3425	-324.547564	-346.801325
1448	-372.747155	-356.354885
953	-392.650949	-366.326993
1108	-341.839596	-353.726050
900	-288.561991	-298.216503
2339	-326.954728	-317.822989
3157	-335.619981	-354.623987
2038	-348.056093	-305.468274
3453	-321.254976	-323.818646
2741	-297.520999	-297.049470
1822	-344.395150	-335.046317
3310	-309.721850	-308.588108
2511	-250.500016	-285.101599
405	-273.804251	-270.518255
2413	-345.604177	-350.509674
3330	-323.360126	-368.830025
179	-362.928160	-351.923048
1590	-344.415609	-356.515857
43	-319.572842	-320.371933
3290	-341.859618	-344.013745
1031	-304.643927	-327.548880
2175	-324.545475	-340.906624
130	-274.988525	-259.594865
1236	-155.897345	-233.400714
1033	-339.482903	-347.063134
622	-341.886905	-323.846439
2561	-325.778234	-330.772067
225	-346.842403	-334.053846
3867	-356.726146	-348.806104
2191	-359.317050	-373.415614
1833	-302.579718	-317.953675
3237	-303.553222	-313.376332
1994	-383.983835	-339.035771
648	-287.422111	-340.046166
3041	-345.692143	-350.125952
3280	-344.483775	-349.963035
807	-340.681309	-336.396529
3376	-273.775510	-282.956823
1559	-380.372123	-388.573241
2607	-275.007113	-240.766195
113	-360.478880	-368.302769
3191	-284.360325	-282.493631
2935	-297.516418	-302.025760
592	-307.614861	-316.240220
2894	-309.717750	-328.254666
3972	-359.339915	-375.134247
1767	-285.277900	-311.925537
1652	-301.316399	-288.604601
1397	-271.624640	-268.342238
747	-359.350089	-355.137647
3072	-340.671263	-343.879776
2031	-269.170061	-300.826800
3903	-340.636306	-377.510118
451	-362.932378	-365.763780
3564	-303.533472	-356.609121
3249	-325.739818	-329.117048
2873	-307.545713	-314.603262
3000	-309.688191	-311.326036
1215	-335.566430	-327.035637
2416	-344.406447	-366.971775
944	-320.766684	-315.280371
408	-208.863267	-232.355275
3847	-356.693135	-341.034520
1871	-306.406578	-309.671822
2469	-270.392444	-277.528598
1213	-324.530103	-353.758130
2651	-273.744309	-249.288305
3230	-344.454591	-370.370808
3588	-272.549011	-312.968924
183	-362.962787	-354.271589
3236	-310.912270	-287.035339
1214	-341.865386	-337.136829
1233	-265.440660	-274.138642
3788	-361.725962	-342.405782
1840	-360.536972	-358.963391
2069	-346.855971	-336.412461
2578	-324.576080	-334.170727
1551	-324.575851	-347.559971
3185	-348.053386	-311.018848
2226	-276.206257	-222.518757
59	-248.430371	-264.040677
838	-361.709679	-361.732104
1714	-132.718150	-168.951853
980	-356.743821	-385.951352
2042	-232.364952	-261.736977
3304	-346.843297	-319.172188
2759	-393.905418	-387.036236
1583	-345.655509	-331.434781
738	-324.592221	-348.916477
456	-336.811524	-352.718361
1745	-264.171923	-328.257418
274	-272.539126	-313.298437
2259	-361.734611	-363.521056
636	-382.818623	-369.042814
1492	-310.927319	-299.083410
2408	-356.708234	-360.186378
3129	-361.692023	-379.110044
1041	-371.504707	-362.554300
2434	-377.845502	-362.923259
1900	-309.689410	-302.826031
2196	-338.559964	-330.524142
3092	-340.610697	-361.281906
652	-345.620593	-346.944026
857	-245.711897	-253.071562
459	-348.056615	-312.180047
24	-345.608180	-342.774851
3178	-345.605421	-341.438990
3060	-270.441145	-298.499562
3749	-249.363949	-294.838546
158	-308.540079	-306.848682
1969	-360.529678	-368.973173
3112	-327.021680	-313.852179
2203	-310.911529	-282.755469
766	-312.133805	-248.643594
492	-305.904760	-310.592541
1184	-286.506282	-301.655142
3517	-396.475511	-379.520762
2905	-307.206439	-335.790020
2581	-234.469389	-259.159410
2805	-272.587161	-277.040387
3319	-376.604793	-345.596622
3764	-308.483519	-311.178803
3264	-307.260972	-359.482029
3028	-346.861640	-323.213126
1279	-377.837977	-368.203682
