no_training:5	no_test:145file identifier	 training data
131	-345.603479
72	-325.720699
23	-304.679494
83	-344.434906
76	-325.685245

file identifier 	 test data 	 predicted
134	-308.516376	-320.498967
113	-360.478880	-325.813134
60	-382.768883	-332.244840
11	-356.688211	-337.990562
26	-301.359287	-328.864317
51	-283.168740	-321.684446
27	-324.573866	-320.717124
77	-348.062001	-348.813630
41	-345.649146	-339.019462
92	-301.343578	-333.293792
52	-345.627428	-329.464521
13	-360.526646	-328.295623
10	-344.512001	-351.939563
66	-337.302324	-315.739548
4	-270.439280	-335.921276
30	-325.717105	-334.213075
99	-336.813559	-344.130424
70	-346.874234	-331.815722
115	-356.682218	-349.227712
119	-327.012568	-359.448018
140	-309.676929	-338.685992
50	-357.934562	-337.951095
125	-228.992613	-302.668042
141	-287.734664	-333.398933
73	-233.293627	-324.419114
63	-287.377993	-321.349830
147	-345.615452	-344.768115
144	-271.323089	-318.890864
2	-324.551643	-340.077908
102	-307.230370	-319.044243
129	-308.512092	-331.724788
47	-247.225618	-305.754681
96	-375.359188	-330.080278
64	-362.945802	-322.373612
135	-301.341304	-336.242662
49	-396.507540	-323.028464
36	-344.382282	-321.173052
94	-362.955075	-334.305609
81	-318.390876	-316.129528
104	-360.574432	-322.707583
89	-249.259410	-325.141128
84	-345.610574	-324.803438
32	-287.509315	-353.720605
142	-307.594137	-319.196526
138	-362.875317	-329.859694
139	-338.257996	-309.738956
136	-343.240623	-309.323193
103	-291.024232	-345.860095
123	-269.263476	-340.149325
1	-360.499843	-330.521403
71	-346.864282	-329.392277
62	-309.677968	-312.719987
132	-308.469258	-318.700187
48	-304.689512	-310.740344
45	-266.615452	-299.648909
9	-344.468531	-345.780178
74	-310.918822	-355.394693
106	-362.952198	-316.382496
46	-372.766726	-343.932603
43	-319.572842	-340.276517
110	-346.869123	-342.623897
8	-272.545439	-321.678773
18	-309.719641	-327.360547
95	-351.666551	-332.718629
117	-211.295163	-295.345910
133	-271.642927	-315.618330
12	-377.816587	-346.481815
6	-345.687671	-330.419195
44	-309.735489	-321.534119
127	-322.216227	-312.913803
82	-309.701458	-322.121892
101	-324.507184	-348.563967
69	-265.441614	-338.151806
65	-312.125621	-317.723980
111	-344.470970	-335.761856
90	-327.017113	-309.053623
31	-359.310420	-333.433731
86	-190.624631	-329.044275
128	-303.785832	-329.412224
87	-490.834069	-342.147036
19	-309.720734	-334.823879
78	-270.472470	-317.729503
20	-270.370102	-324.349368
40	-344.338878	-329.380775
55	-335.683118	-334.294700
146	-377.813815	-330.985906
56	-345.599154	-335.562496
39	-340.687222	-336.074880
22	-324.575190	-317.182979
21	-278.059333	-318.367530
68	-286.519735	-307.120110
121	-361.711483	-318.384152
126	-274.991042	-330.926444
93	-340.615011	-348.782692
80	-392.672883	-330.733967
124	-271.621961	-321.712287
7	-309.722879	-322.267613
58	-304.683044	-317.591206
53	-285.330157	-331.792708
29	-344.425700	-318.697747
112	-340.648166	-320.614917
59	-248.430371	-316.153013
54	-195.186228	-303.946538
145	-310.929561	-319.941765
57	-345.635513	-331.325928
61	-308.462933	-317.419798
14	-302.238859	-322.944109
5	-351.628383	-333.865778
3	-346.838279	-339.928667
98	-303.553222	-347.314829
42	-376.564691	-334.127688
38	-309.736982	-332.511836
118	-352.905052	-346.664674
25	-309.712046	-319.371616
148	-345.629933	-323.358441
34	-306.355655	-305.381692
75	-381.566310	-329.359576
67	-172.006141	-303.049140
17	-345.612580	-330.154154
122	-339.419649	-309.656731
143	-302.355005	-320.560293
137	-287.440932	-290.088527
114	-361.772743	-344.610561
33	-264.504487	-325.590972
97	-286.495035	-319.770501
85	-272.550580	-369.205296
149	-380.415966	-318.081782
105	-309.727110	-336.757462
88	-345.655534	-324.381882
116	-346.831175	-325.991997
107	-307.580090	-337.060447
0	-351.615495	-329.062271
28	-324.630221	-335.195328
91	-275.011437	-333.282218
37	-381.587333	-316.533375
24	-345.608180	-335.322009
109	-158.340943	-315.968226
120	-323.345161	-304.411626
16	-273.806874	-344.264491
130	-274.988525	-349.303776
15	-288.542593	-331.621041
79	-324.605178	-311.134721
35	-343.197784	-324.841240
100	-361.702143	-326.104646
108	-345.614707	-336.462168
