no_training:10	no_test:140file identifier	 training data
139	-338.257996
18	-309.719641
56	-345.599154
97	-286.495035
17	-345.612580
16	-273.806874
67	-172.006141
32	-287.509315
8	-272.545439
72	-325.720699

file identifier 	 test data 	 predicted
35	-343.197784	-327.684200
149	-380.415966	-348.175192
99	-336.813559	-308.345242
121	-361.711483	-342.536070
96	-375.359188	-341.980690
114	-361.772743	-312.690130
80	-392.672883	-344.337751
21	-278.059333	-226.751654
6	-345.687671	-317.286020
74	-310.918822	-299.403731
130	-274.988525	-271.907375
93	-340.615011	-295.365413
5	-351.628383	-317.260795
13	-360.526646	-341.320275
23	-304.679494	-299.246867
135	-301.341304	-273.781553
24	-345.608180	-331.015590
47	-247.225618	-229.038392
79	-324.605178	-323.203231
39	-340.687222	-311.609566
115	-356.682218	-312.072455
117	-211.295163	-190.120708
46	-372.766726	-329.035071
3	-346.838279	-318.269735
94	-362.955075	-321.874709
55	-335.683118	-314.442174
28	-324.630221	-304.871638
29	-344.425700	-322.473933
91	-275.011437	-238.233812
125	-228.992613	-208.179425
31	-359.310420	-338.655415
147	-345.615452	-340.360328
103	-291.024232	-297.566330
89	-249.259410	-274.603459
90	-327.017113	-302.636812
104	-360.574432	-324.622313
61	-308.462933	-323.626734
59	-248.430371	-215.239738
143	-302.355005	-296.425842
83	-344.434906	-326.930911
82	-309.701458	-296.044301
111	-344.470970	-320.587670
148	-345.629933	-334.968351
98	-303.553222	-295.802227
34	-306.355655	-287.454205
120	-323.345161	-327.908105
107	-307.580090	-287.719518
109	-158.340943	-151.366457
116	-346.831175	-319.215071
77	-348.062001	-317.732882
43	-319.572842	-297.349828
45	-266.615452	-247.445980
22	-324.575190	-320.571236
124	-271.621961	-266.290513
76	-325.685245	-331.425703
9	-344.468531	-320.127933
44	-309.735489	-288.027095
64	-362.945802	-343.538800
1	-360.499843	-351.817729
142	-307.594137	-285.172882
0	-351.615495	-331.681551
144	-271.323089	-271.864274
25	-309.712046	-304.904867
81	-318.390876	-304.142741
7	-309.722879	-292.578597
30	-325.717105	-301.480471
78	-270.472470	-263.008172
27	-324.573866	-318.694694
129	-308.512092	-306.660569
12	-377.816587	-326.646697
133	-271.642927	-247.137523
15	-288.542593	-290.157952
11	-356.688211	-334.382564
112	-340.648166	-322.978113
136	-343.240623	-329.214958
141	-287.734664	-276.403377
92	-301.343578	-273.553439
113	-360.478880	-358.742570
50	-357.934562	-310.273321
127	-322.216227	-309.881866
69	-265.441614	-264.624799
85	-272.550580	-298.610543
49	-396.507540	-340.767186
108	-345.614707	-355.769046
119	-327.012568	-304.617606
106	-362.952198	-319.912533
58	-304.683044	-295.244779
14	-302.238859	-321.326236
70	-346.874234	-312.105689
123	-269.263476	-256.765874
71	-346.864282	-289.620991
65	-312.125621	-294.730339
102	-307.230370	-304.623340
110	-346.869123	-316.321523
38	-309.736982	-311.981324
146	-377.813815	-334.702747
95	-351.666551	-316.411777
37	-381.587333	-343.943483
134	-308.516376	-303.334885
52	-345.627428	-324.133702
42	-376.564691	-346.201826
41	-345.649146	-323.632796
73	-233.293627	-254.337394
66	-337.302324	-289.794032
57	-345.635513	-323.776497
86	-190.624631	-208.210454
101	-324.507184	-329.264760
132	-308.469258	-332.124224
20	-270.370102	-271.388428
138	-362.875317	-353.267264
100	-361.702143	-343.422407
84	-345.610574	-318.404362
4	-270.439280	-249.419702
51	-283.168740	-253.670635
36	-344.382282	-339.006982
75	-381.566310	-357.847647
87	-490.834069	-417.273940
33	-264.504487	-236.709217
40	-344.338878	-327.819359
88	-345.655534	-334.463884
19	-309.720734	-283.083648
2	-324.551643	-311.748666
26	-301.359287	-267.654962
118	-352.905052	-323.772832
62	-309.677968	-294.093041
137	-287.440932	-289.592887
63	-287.377993	-290.096883
10	-344.512001	-295.422304
131	-345.603479	-329.368825
145	-310.929561	-262.907177
122	-339.419649	-333.943740
53	-285.330157	-265.808979
128	-303.785832	-261.460234
48	-304.689512	-283.824301
105	-309.727110	-303.837935
54	-195.186228	-194.724661
60	-382.768883	-349.933342
68	-286.519735	-270.380879
126	-274.991042	-278.583780
140	-309.676929	-296.815942
