no_training:25	no_test:125file identifier	 training data
149	-380.415966
125	-228.992613
78	-270.472470
32	-287.509315
54	-195.186228
27	-324.573866
23	-304.679494
126	-274.991042
73	-233.293627
107	-307.580090
93	-340.615011
146	-377.813815
37	-381.587333
112	-340.648166
84	-345.610574
104	-360.574432
117	-211.295163
114	-361.772743
1	-360.499843
81	-318.390876
109	-158.340943
94	-362.955075
28	-324.630221
64	-362.945802
71	-346.864282

file identifier 	 test data 	 predicted
113	-360.478880	-366.347404
58	-304.683044	-339.381852
66	-337.302324	-312.283518
68	-286.519735	-275.115641
61	-308.462933	-315.269011
57	-345.635513	-295.825176
35	-343.197784	-351.906977
83	-344.434906	-349.582803
4	-270.439280	-264.549998
147	-345.615452	-340.872362
111	-344.470970	-348.632709
69	-265.441614	-245.073392
85	-272.550580	-316.880731
6	-345.687671	-354.614436
105	-309.727110	-331.038397
14	-302.238859	-319.533252
142	-307.594137	-300.473460
56	-345.599154	-322.825954
97	-286.495035	-310.504595
120	-323.345161	-327.632953
17	-345.612580	-326.549253
110	-346.869123	-345.207158
10	-344.512001	-352.389517
103	-291.024232	-322.335185
25	-309.712046	-294.831569
2	-324.551643	-332.525219
133	-271.642927	-256.775080
148	-345.629933	-309.339107
130	-274.988525	-300.481452
129	-308.512092	-286.874948
144	-271.323089	-261.136073
140	-309.676929	-361.352688
62	-309.677968	-340.098177
99	-336.813559	-330.943358
41	-345.649146	-346.022177
53	-285.330157	-230.600254
92	-301.343578	-283.039195
100	-361.702143	-360.457719
145	-310.929561	-320.598442
19	-309.720734	-322.878060
48	-304.689512	-318.329449
31	-359.310420	-359.365999
115	-356.682218	-363.806496
95	-351.666551	-358.480833
24	-345.608180	-317.331337
137	-287.440932	-294.888098
21	-278.059333	-294.356395
75	-381.566310	-361.971104
7	-309.722879	-330.650588
20	-270.370102	-261.932042
89	-249.259410	-235.193899
87	-490.834069	-459.582670
65	-312.125621	-330.488918
29	-344.425700	-338.616561
106	-362.952198	-345.575755
72	-325.720699	-298.997450
42	-376.564691	-374.729636
33	-264.504487	-264.248779
16	-273.806874	-306.892155
135	-301.341304	-291.705270
51	-283.168740	-291.599613
108	-345.614707	-331.958610
67	-172.006141	-199.961996
9	-344.468531	-335.034129
22	-324.575190	-341.378250
13	-360.526646	-352.927201
11	-356.688211	-349.182937
121	-361.711483	-367.967894
8	-272.545439	-295.650254
136	-343.240623	-329.669621
138	-362.875317	-359.622008
98	-303.553222	-287.394579
118	-352.905052	-339.548497
119	-327.012568	-382.828118
132	-308.469258	-323.887801
96	-375.359188	-368.102855
12	-377.816587	-389.269988
3	-346.838279	-344.628832
139	-338.257996	-340.654315
127	-322.216227	-295.649482
60	-382.768883	-391.683033
123	-269.263476	-264.051928
38	-309.736982	-307.484747
102	-307.230370	-288.383563
55	-335.683118	-325.967334
30	-325.717105	-322.966753
80	-392.672883	-356.824604
124	-271.621961	-266.975581
46	-372.766726	-355.077835
116	-346.831175	-356.400285
86	-190.624631	-225.746195
76	-325.685245	-315.688443
90	-327.017113	-343.035647
50	-357.934562	-384.329972
122	-339.419649	-360.080458
15	-288.542593	-261.050318
36	-344.382282	-316.643659
131	-345.603479	-340.339538
40	-344.338878	-295.616773
77	-348.062001	-362.371087
134	-308.516376	-284.726197
79	-324.605178	-350.106804
88	-345.655534	-344.345355
74	-310.918822	-359.301313
63	-287.377993	-241.555404
59	-248.430371	-266.399972
34	-306.355655	-285.996976
49	-396.507540	-394.287416
70	-346.874234	-365.859753
128	-303.785832	-274.114685
91	-275.011437	-305.779631
18	-309.719641	-310.319131
141	-287.734664	-284.722599
43	-319.572842	-312.340993
52	-345.627428	-292.009849
82	-309.701458	-263.856841
26	-301.359287	-256.167933
47	-247.225618	-255.980852
44	-309.735489	-322.971525
143	-302.355005	-286.523873
5	-351.628383	-363.852543
45	-266.615452	-273.346806
0	-351.615495	-356.262527
39	-340.687222	-338.274430
101	-324.507184	-347.311558
