no_training:120	no_test:30file identifier	 training data
20	-270.370102
17	-345.612580
21	-278.059333
65	-312.125621
23	-304.679494
51	-283.168740
74	-310.918822
137	-287.440932
68	-286.519735
64	-362.945802
90	-327.017113
42	-376.564691
112	-340.648166
53	-285.330157
135	-301.341304
126	-274.991042
67	-172.006141
30	-325.717105
87	-490.834069
130	-274.988525
34	-306.355655
69	-265.441614
27	-324.573866
57	-345.635513
40	-344.338878
5	-351.628383
43	-319.572842
108	-345.614707
116	-346.831175
4	-270.439280
47	-247.225618
32	-287.509315
3	-346.838279
128	-303.785832
0	-351.615495
70	-346.874234
71	-346.864282
139	-338.257996
35	-343.197784
46	-372.766726
143	-302.355005
131	-345.603479
82	-309.701458
147	-345.615452
25	-309.712046
94	-362.955075
75	-381.566310
14	-302.238859
99	-336.813559
141	-287.734664
28	-324.630221
134	-308.516376
106	-362.952198
129	-308.512092
11	-356.688211
100	-361.702143
144	-271.323089
66	-337.302324
101	-324.507184
33	-264.504487
124	-271.621961
84	-345.610574
115	-356.682218
59	-248.430371
92	-301.343578
48	-304.689512
81	-318.390876
102	-307.230370
122	-339.419649
9	-344.468531
72	-325.720699
26	-301.359287
103	-291.024232
58	-304.683044
104	-360.574432
140	-309.676929
109	-158.340943
44	-309.735489
55	-335.683118
105	-309.727110
52	-345.627428
95	-351.666551
45	-266.615452
79	-324.605178
148	-345.629933
132	-308.469258
114	-361.772743
56	-345.599154
138	-362.875317
111	-344.470970
76	-325.685245
145	-310.929561
10	-344.512001
29	-344.425700
1	-360.499843
89	-249.259410
54	-195.186228
123	-269.263476
119	-327.012568
86	-190.624631
61	-308.462933
118	-352.905052
49	-396.507540
41	-345.649146
97	-286.495035
24	-345.608180
77	-348.062001
18	-309.719641
113	-360.478880
121	-361.711483
37	-381.587333
16	-273.806874
62	-309.677968
142	-307.594137
93	-340.615011
88	-345.655534
13	-360.526646
73	-233.293627
133	-271.642927
120	-323.345161

file identifier 	 test data 	 predicted
15	-288.542593	-290.274575
98	-303.553222	-316.650056
127	-322.216227	-357.980764
8	-272.545439	-305.863540
110	-346.869123	-297.440579
50	-357.934562	-302.927107
22	-324.575190	-306.490741
91	-275.011437	-280.217001
107	-307.580090	-324.034865
6	-345.687671	-307.834545
19	-309.720734	-298.089809
149	-380.415966	-354.097872
78	-270.472470	-296.924168
117	-211.295163	-225.754212
83	-344.434906	-334.332068
96	-375.359188	-303.595410
60	-382.768883	-323.599037
125	-228.992613	-253.581260
136	-343.240623	-323.944360
38	-309.736982	-329.895910
63	-287.377993	-296.203142
12	-377.816587	-366.604309
36	-344.382282	-322.760023
85	-272.550580	-361.704696
146	-377.813815	-376.722634
2	-324.551643	-322.728462
7	-309.722879	-343.271234
80	-392.672883	-342.957693
31	-359.310420	-340.767327
39	-340.687222	-330.204349
